اسم السيارة,موديل السيارة,سعر السيارة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,حالة الإعلان,تاريخ نشر الإعلان,تاريخ إنتهاء الإعلان,Number_of_Additions,فتحة السقف,الدفع
فورد فيستا,موديل سنة 2014,47000 شيكل,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,33000,4+1,نقدا فقط,للتبديل فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-21,2017-09-05,5.0,0.0,
هونداي توسان,موديل سنة 2014,93000 شيكل,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-21,2017-09-05,7.0,0.0,
سكودا رابيد,موديل سنة 2014,71000 شيكل,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,غير منمر استيراد الماني,مُكيّفجهاز إنذارمسجل CD,إعلان منتهي,2017-08-22,2017-09-21,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
هونداي i40,موديل سنة 2011,110000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,إمكانية التقسيط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-22,2017-09-21,7.0,1.0,
سكودا اوكتافيا,موديل سنة 2014,90000 شيكل,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوم,إعلان منتهي,2017-08-22,2017-09-21,5.0,0.0,
كيا فورتي,موديل سنة 2011,67000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,"122,000",4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-22,2017-09-21,6.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
اوبل كاديت,موديل سنة 1982,17500 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1300,00000000000000,4+1,نقدا فقط,للبيع فقط,00,إغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوم,إعلان منتهي,2017-08-23,2017-09-21,4.0,0.0,
هونداي اكسنت,موديل سنة 2016,67000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,22000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-23,2017-09-22,7.0,0.0,
فولكسفاجن بولو,موديل سنة 2012,60000 شيكل,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-23,2017-09-22,5.0,0.0,
فولكسفاجن كادي,موديل سنة 2011,95000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-23,2017-09-22,6.0,0.0,
دايو لانوس,موديل سنة 1999,30000 شيكل,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,,4+1,نقدا فقط,للبيع فقط,3,,إعلان منتهي,2017-08-24,2017-09-23,0.0,0.0,
فولكسفاجن كادي,موديل سنة 2012,115000 شيكل,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,6+1,إمكانية التقسيط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-23,2017-10-07,7.0,0.0,
هونداي توسان,موديل سنة 2014,109000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,29000,4+1,إمكانية التقسيط,للبيع أو التبديل,غير منمرة,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-24,2017-09-23,6.0,0.0,
هونداي افانتي,موديل سنة 2006,42000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123457,,إمكانية التقسيط,للبيع أو التبديل,2,,إعلان منتهي,2017-08-24,2017-09-08,0.0,0.0,
فولكسفاجن توران,موديل سنة 2011,85000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٢٥٠٠٠٠,٧,نقدا فقط,للبيع فقط,يد ثانيه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-24,2017-09-23,7.0,0.0,
شفروليه اوبترا,موديل سنة 2006,32500 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,3,إغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-24,2017-09-23,4.0,0.0,
اوبل كورسا,موديل سنة 2003,33500 شيكل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,122000,4+1,نقدا فقط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-24,2017-09-23,7.0,0.0,
فولكسفاجن توران,موديل سنة 2012,97000 شيكل,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-26,2017-10-10,6.0,0.0,
هونداي توسان,موديل سنة 2010,85000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-24,2017-09-08,7.0,1.0,
فورد فيستا,موديل سنة 2012,45000 شيكل,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,78000,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-24,2017-09-13,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
دايو رايسر,موديل سنة 1996,21000 شيكل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,00000,4+1,إمكانية التقسيط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-26,2017-09-25,6.0,0.0,
رينو R9,موديل سنة 1983,11000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,,إمكانية التقسيط,للبيع أو التبديل,,مسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2017-08-26,2017-09-25,3.0,0.0,
فورد ترانزيت,موديل سنة 2000,45000 شيكل,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,"7,+ 1",نقدا فقط,للبيع أو التبديل,,مسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-26,2017-09-25,2.0,0.0,
مرسيدس فيتو,موديل سنة 1999,20000 شيكل,رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,,إمكانية التقسيط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-26,2017-09-25,7.0,0.0,
اوبل كورسا,موديل سنة 2015,56500 شيكل,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,22000,5+1,نقدا فقط,للبيع فقط,أولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-28,2017-09-27,6.0,0.0,
جييب شيروكي,موديل سنة 2003,85000 شيكل,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,130000,4+1,إمكانية التقسيط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-27,2017-10-11,7.0,1.0,
رينو R9,موديل سنة 1982,10000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1235,,,نقدا فقط,للبيع فقط,٨,,إعلان منتهي,2017-08-27,2017-09-26,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
اوبل كورسا,موديل سنة 2013,51900 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,إمكانية التقسيط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-28,2017-09-27,7.0,0.0,
فولكسفاجن كرافيل,موديل سنة 2008,75000 شيكل,برتقالي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7:1,نقدا فقط,للبيع فقط,يد اولا,مُكيّفجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-28,2017-09-27,5.0,0.0,
هونداي جيتس,موديل سنة 2007,40000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,900000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-28,2017-09-27,7.0,0.0,
سكودا اوكتافيا,موديل سنة 2015,113000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,7,4+1,إمكانية التقسيط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-28,2017-09-27,6.0,0.0,
فولكسفاجن بولو,موديل سنة 1997,25000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000,4+1,نقدا فقط,للبيع أو التبديل,يد ثالثة,إغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-28,2017-09-27,5.0,0.0,
فولكسفاجن جولف,موديل سنة 2007,60000 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع فقط,ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوم,إعلان منتهي,2017-08-28,2017-09-27,5.0,0.0,
فولكسفاجن جولف,موديل سنة 2012,100000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000,4+1,نقدا فقط,للبيع فقط,يد أولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-29,2017-09-28,7.0,1.0,
سكودا اوكتافيا,موديل سنة 2001,37000 شيكل,أخضر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,_,4+1,نقدا فقط,للبيع فقط,يد سادسة,مُكيّفمسجل CDفتحة سقفجنطات مغنيسيومفرش جلد,إعلان منتهي,2017-08-29,2017-09-28,4.0,1.0,
فولكسفاجن باسات,موديل سنة 2010,85000 شيكل,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,190,4+1,نقدا فقط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-29,2017-09-14,6.0,0.0,
فولكسفاجن ترانسبورتر,موديل سنة 1999,37000 شيكل,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,,1+7,إمكانية التقسيط,للبيع أو التبديل,,مسجل CDفرش جلد,إعلان منتهي,2017-08-29,2017-09-28,2.0,0.0,
اوبل كاديت,موديل سنة 1986,23000 شيكل,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,إمكانية التقسيط,للبيع فقط,,إغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوم,إعلان منتهي,2017-08-29,2017-09-28,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
بيجو بارتنر,موديل سنة 2012,69000 شيكل,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,-,4+1,نقدا فقط,للبيع فقط,يد ثانية,مُكيّفإغلاق مركزيمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-29,2017-09-28,5.0,0.0,
اوبل كاديت,موديل سنة 1984,13000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,184000,4+1,نقدا فقط,للبيع فقط,5,إغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-29,2017-09-28,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
اوبل اسكونا,موديل سنة 1984,6000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,200,5+1,نقدا فقط,للبيع فقط,5,جنطات مغنيسيومفرش جلد,إعلان منتهي,2017-08-30,2017-09-14,2.0,0.0,
اوبل زافيرا,موديل سنة 2004,45000 شيكل,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,6+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-30,2017-09-29,7.0,0.0,
سكودا سوبيرب,موديل سنة 2014,123999 شيكل,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-30,2017-09-29,6.0,0.0,
كيا بيكانتو,موديل سنة 2015,59000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,4+1,إمكانية التقسيط,للبيع أو التبديل,اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-31,2017-09-30,6.0,0.0,
فولكسفاجن بولو,موديل سنة 2015,84000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,,نقدا فقط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-31,2017-09-30,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
فورد فوكس,موديل سنة 2002,5500 شيكل,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,295000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,مُكيّفإغلاق مركزيوسادة حماية هوائية,إعلان منتهي,2017-08-31,2017-10-15,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن كادي,موديل سنة 2015,108000 شيكل,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,6+1,نقدا فقط,للبيع فقط,صفر,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-03,2017-10-03,6.0,0.0,
دايو نوبيرا,موديل سنة 1997,22000 شيكل,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,143212,4+1,إمكانية التقسيط,للبيع أو التبديل,9,مُكيّفإغلاق مركزيمسجل CD,إعلان منتهي,2017-09-03,2017-10-05,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
بي ام دبليو X3,موديل سنة 2014,215000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-05,2017-10-05,7.0,1.0,
فورد فيستا,موديل سنة 2013,67000 شيكل,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,71,4+1,نقدا فقط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-05,2017-10-20,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
شفروليه افيو,موديل سنة 2009,45000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,160000,4+1,إمكانية التقسيط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-09-05,2017-10-05,5.0,0.0,
هونداي توسان,موديل سنة 2006,55000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-05,2017-10-05,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
دراجة نارية دراجه سييم,موديل سنة 2016,11500 شيكل,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,4000,,إمكانية التقسيط,للبيع أو التبديل,0,,إعلان منتهي,2017-09-06,2017-10-06,0.0,0.0,
